file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,170,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,13
style.css,171,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,72
style.css,172,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,55
style.css,173,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,0
style.css,174,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,0
style.css,175,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,40
style.css,176,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,3
style.css,177,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,11
style.css,178,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,48
style.css,179,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,0
style.css,180,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,0
style.css,181,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,48
style.css,182,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,3
style.css,183,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,11
style.css,184,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,57
style.css,185,css,928c349a,ivc003,2025-01-31,22:05:17,-08:00,2025-01-31T22:05:17-08:00,0,0
style.css,186,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,0
style.css,187,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,40
style.css,188,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,0
style.css,189,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,19
style.css,190,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,15
style.css,191,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,17
style.css,192,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,18
style.css,193,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,17
style.css,194,css,b13d443d,ivc003,2025-02-08,15:47:55,-08:00,2025-02-08T15:47:55-08:00,0,0
style.css,195,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,196,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,11
style.css,197,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,13
style.css,198,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,9
style.css,199,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,200,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,201,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,8
style.css,202,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,21
style.css,203,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,10
style.css,204,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,9
style.css,205,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,13
style.css,206,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,111
style.css,207,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,35
style.css,208,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,7
style.css,209,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,210,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,211,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,212,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,11
style.css,213,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,13
style.css,214,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,19
style.css,215,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,51
style.css,216,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,217,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,218,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,219,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,16
style.css,220,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,43
style.css,221,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,44
style.css,222,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,55
style.css,223,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,75
style.css,224,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,55
style.css,225,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,59
style.css,226,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,227,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,228,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,0
style.css,229,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,26
style.css,230,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,11
style.css,231,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,13
style.css,232,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,11
style.css,233,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,68
style.css,234,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,54
style.css,235,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,42
style.css,236,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,55
style.css,237,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,38
style.css,238,css,75c071a0,ivc003,2025-02-08,18:54:42,-08:00,2025-02-08T18:54:42-08:00,0,35
